Tweet,Sentiment,Subcategory,Category
"Jesus haha, at least you were there to help",,Culture & Tradition,Attraction
"26 years ago today:Garcia/Grisman at Gold Coast Concert Bowl, Squaw Valley, CA",Neutral,Live entertainment,Attraction
"Our #MCM comes from @hostelworld, who have created the worldês first ‰sand hostelê on the Gold Coast, Australia: https://www.architecturaldigest.com/story/worlds-first-sand-hostel-opens-on-australias-gold-coast ã",Neutral,Second class accomadation,Accommodation
"These people who attack non traditional families have shown cause they are a credible threat. Be it open claims to kidnapping, corrupting govt officials & due process through lobbying & other means..",,Culture & Tradition,Attraction
"Impressed by the depth and variety of exhibits at Surf World Gold Coast in currumbin, great outing on a quiet day!",Positive,Exhibition entertainment,Attraction
Getwhatever.com/eauction/  Man dies after shooting off firework from top of his head. Gold Coast Marathon 2015 Results Men s and W,Positive,Live entertainment,Attraction
"Gold Coast nightclub rips of Britney Spears, Bieber, #ACDC, cops $115k bill - Gold Coast Bulletin ",Neutral,Live entertainment,Attraction
Guided snorkeling tour with Bill ! #goldcoastscuba #lovelbts #snorkeling @ Gold Coast Scuba https://www.instagram.com/p/BCgbnkIzDmL/ ,Neutral,Adventure tours and activities,Attraction
More than just a concert....,,Live entertainment,Attraction
Can't wait to see my chauffeur #food #champagne #goodtimes #thaifood #houseofsiam #dancing @ Gold€ https://instagram.com/p/0XW7tHGQ4L/_,,Transportation Services,Transportation
Jump in the car and head down to one of the many theme parks on the Gold Coast with a hire car from Five Star Car Rental.,Positive,Transportation Services,Transportation
"If you in Sydney, the Gold Coast or Perth take advantage of this great offer from iFLY Indoor Skydiving to... http://fb.me/2ofsQREdN ",Positive,Adventure tours and activities,Attraction
I did think about live streaming Deltas Gold Coast concert on Friday night but I didnt want 2 ruin it 4 anyone going to the Newcastle one ____,Positive,Live entertainment,Attraction
Gold Coast #Australia Women Of The Waves http://surfworldgoldcoast.com/?p=2002   #womenssurfing Tonight @ Surf World Museum,Neutral,Exhibition entertainment,Attraction
"After @TransLinkSEQ removed the benches at Helensvale station, thereês 6 left - 3 on each side. Thereês no signs encouraging people to give up seats for elderly, people with disabilities, etc.",,Transportation Infrastructure,Transportation
"Snorkelling with the fishes ______ @ Sea World - Gold Coast, Australia https://www.instagram.com/p/BVJSF97g4_k/ ",Neutral,Adventure tours and activities,Attraction
"@IAmLindsayJones @AH_Michael Next time AH & RT come up to the Gold Coast and you need an Uber to get around, I'll happily be the chauffeur!",Positive,Transportation Services,Transportation
The wonderful ceramics of Megan Puls with the smooth abstracts of Alison Mooney in the gallery.ƒ,,Culture & Tradition,Attraction
Visit this unique #GoldCoast surf museum & discover fascinating exhibits of surfing memorabilia at #SurfWorld. http://bit.ly/2d0xNpJ_ pic.twitter.com/77frWSKxWa,Positive,Exhibition entertainment,Attraction
"""It was love at first sight."" @nolan_20 @ Sleeping Inn Surfers Backpackers",,Second class accomadation,Accommodation
party at surfer paradise gold coast.. the biggest firework in queensland tonight.. Wohoo,Neutral,Live entertainment,Attraction
thanks by@hilaazohar @ Coolangatta Sands Backpackers ,,Second class accomadation,Accommodation
Coolangatta will always be one of my favourite beaches #goldcoast #queensland #coolangatta,,Scenic,Attraction
I'd have to take another road. That is just doing my head in!,,Transportation Infrastructure,Transportation
"Art, art everywhere. We have an amazing and very large gallery, but with so many fantasticƒ ",,Culture & Tradition,Attraction
A Magistrate has sentenced a Gold Coast man to 3 months behind bars for his actions during a brawl outside a Broadbeach nightclub. #7News,Negative,Live entertainment,Attraction
Thank you for dinner tonightJapanese cuisine,,Culture & Tradition,Attraction
"Black Bow Chauffeur Luxury, Affordable Transfer Services https://blackbow09.livejournal.com/17531.html_ #tripadvisor #brisbane #goldcoast #australia #awards",Neutral,Transportation Services,Transportation
"#Skydiving in #MS today at Gold Coast Skydiving. We had a great time jumping from 14,000 feet. ",Positive,Adventure tours and activities,Attraction
Caught Logan slapping harlequin on the butt __________ #fitforlife247gym #holiday #goldcoastã https://www.instagram.com/p/Bb_e_ODB8Gt/ ,Neutral,Facility,Service and Ancillary
"New Gold Coast buses. @ Gold Coast, Queensland https://www.instagram.com/p/BOi_GV1hq9s/_",Positive,Means of transport,Transportation
"Eco-cottages & wallabies in the forest of South Stradbroke Island (Couran Cove Resort), a ferry ride from the Gold Coast. I could live here__ ",Positive,Scenic,Attraction
Would you spend the night at the worldês first sandcastle hostel on Australia's Gold Coast? #adelmanvacations,Neutral,Second class accomadation,Accommodation
Awesome skydiving experience with iFLY Indoor Skydiving Gold Coast.  Definitely worth giving it a go! Check out the details here! http://ow.ly/aidf30gwd9O ,Positive,Adventure tours and activities,Attraction
Some good looking breakfast I got here. #breakfast #readytogo @ Gold Coast Airport,,Transportation Infrastructure,Transportation
I am sooooo excited to go snorkelling on the Gold Coast ____________,Positive,Adventure tours and activities,Attraction
Dreamworld Theme Park at the Gold Coast Australia. Check Alex and Aedans Day: http://youtu.be/MCqfpddYvMs?a  via @YouTube,Neutral,Exhibition entertainment,Attraction
All architecture is great after sunset; perhaps architecture is really a nocturnal art ~ G. K. Chesterton #waterpoint #residences #sunset #lighting #colours #instagood #photoftheday #summer #beautiful #architecture #design #modern #timeless #urban #luxury #goldcoast #lifestyle,Positive,Culture & Tradition,Attraction
"One-off up close n personal gig with Zee & Seb in the Gold Coast TONIGHT, in an intimate house concert setting... http://fb.me/1FbHLPffV ",Positive,Live entertainment,Attraction
"Nancy you bring your Catholic faith into disrepute. Remember @pontifex said such behavior like you display here was a cancer / disease on the church. Never even heard of Buck v Bell, let alone forced sterilization of women until you claimed I supported it.",,Culture & Tradition,Attraction
Queenslanders will say goodbye to 2016 with multiple firework displays in Brisbane and on the Gold Coast. http://dlvr.it/MzZ2Jm  #ausnews,Neutral,Live entertainment,Attraction
"Experience the awesome feeling of skydiving with @skydivethebeach in Byron Bay, Gold Coast! Reserve your jump at https://goo.gl/IXYnK3 ",Positive,Adventure tours and activities,Attraction
On-campus rock climbing rocks!! @Griffith_Uni Gold Coast ,Neutral,Adventure tours and activities,Attraction
NEW ARTISTS AT Urban ParadiseæGallery,,Culture & Tradition,Attraction
Gold Coast News:  New visitor centre for Springbrook: A TOURIST hub is set to pull Springbrook out from under the... http://dlvr.it/3hyrll ,Positive,Information & Guiding,Service and Ancillary
"Kichibes Gold Coast (mini) Travelogue.Of skydiving, hot-air balloonã https://www.instagram.com/p/BbthuvbBjz6RTmdHwvP9DQfM8SAWvlm7HMEKE80/ ã",Neutral,Adventure tours and activities,Attraction
Beach vibes _ #beach #blackandwhitephoto #beaches #sun #summer #love #fun #hot #vibes #peace,,Scenic,Attraction
From Bournemouth beach to Australia's Gold Coast. The Beach Volleyball players ready to represent England at the commonwealth games. ,Positive,Scenic,Attraction
"Going gold in Gold Coast _Take in Queensland's natural beauty from Tamborine Mountain. This golden destination is just a one-hr road trip away from @CapriByFraserBrisbane! Ready to plan a trip down? http://brisbane.capribyfraser.com/ ",Positive,Scenic,Attraction
"Slope Go-Kart, Lazer Tag & Rock Climbing in #GoldCoast, #Australia http://ow.ly/EI6K2  #travelblog",Neutral,Adventure tours and activities,Attraction
"Snorkelling with these guys at Sea World was incredible! __#thisisqueensland #seeaustralia @Queensland #goldcoast ",Positive,Adventure tours and activities,Attraction
#GoldCoast  25 Breathtaking Examples of Rock Climbing Photography Rock climbing is conside http://www.modny73.com/artwork/photography/25-breathtaking-examples-of-rock-climbing-photography/ ã,Positive,Adventure tours and activities,Attraction
It was so good to catch up with the Centre Church Philippines Compassion Trip Team over a meal tonight,,Culture & Tradition,Attraction
"THE GOLD COAST // KONA, HAWAII // MY TRAVEL TOUR GUIDE: http://youtu.be/wwaZ6FFZgxc?a  via @YouTube",Neutral,Tourism agent & operator,Tourism broker
"Like and share if you tried Tabouli!#foods #salads #vegetarian #goldcoast #arabian #cuisine ",Neutral,Culture & Tradition,Attraction
"Hard to believe after all the shite the church has caused, they're still gonna cost the state the cost of a referendum. #thatsfuckedup",,Culture & Tradition,Attraction
Snorkelling with @leonardo_crespo. Thanks to @wandermanda for the creative framing __ #tbt #GoldCoastã http://instagram.com/p/yhEPMqEC-U/ ,Positive,Adventure tours and activities,Attraction
"@TheTodayShow Alot more people could have been there, needed buses transport in Gold Coast was axed lot difficult than ever wanted be there",,Means of transport,Transportation
Could this be the best snorkelling experience ever? | Gold Coast Bulletin: http://www.goldcoastbulletin.com.au/lifestyle/could-this-be-the-best-snorkelling-experience-ever/story-fnjdow5o-1226757225484?sv=e936f8ec7199628e6272653df9108c6e#.UoKtnlkHuoI.twitter ã via @GCBulletin,Positive,Adventure tours and activities,Attraction
Getwhatever.com  Gold Coast Marathon 2015 Results Men s and Women s Top Finishers. Police Man Dead After Setting Firework Off on T,Positive,Live entertainment,Attraction
Awesome Outdoor Rock Climbing in North Burleigh Gold Coast!! ,Positive,Adventure tours and activities,Attraction
"After 3 days of rain, watching the Scenic Rim valleys light up with golden light was just divine",,Scenic,Attraction
I am coming home from @edsheeran concert which is after Midnite. So is @MiamiOpen on something to watch when I get home lol,,Live entertainment,Attraction
Gimme cawfee ‹ travelling to Sydney from Gold Coast Airport,,Transportation Infrastructure,Transportation
At the pocket music show. Dudes are covering the Pokemon theme song.,,Exhibition entertainment,Attraction
What's it like in the booth at the Gold Coast Tourist Information Centre.  @JamieTravers headed down there - LISTEN: https://radio.abc.net.au/stations/local_goldcoast/live?play=true ã,Neutral,Information & Guiding,Service and Ancillary
"Come iFly with me. Let's fly indoors today. ______#goldcoast #tourism #indooractivities #skydiving #ifly",Positive,Adventure tours and activities,Attraction
Caroline in Gold Coast City Queensland Australia entrusts Queensland Maritime Museum at WomTown  >> Biz owners,Neutral,Exhibition entertainment,Attraction
Off to Ripleys museum today. #GoldCoast #Australia #Ripleys,Neutral,Exhibition entertainment,Attraction
Urghh... I don't like the mesh trams... Distorts my pictures... #ohwell #worklife #ridetheG€ https://www.instagram.com/p/BIGYvWoj1Fp/_,Negative,Means of transport,Transportation
I added a video to a @YouTube playlist http://youtu.be/u9sdsSQf4pI?a  Gold Coast Airport Car Hire,Neutral,Transportation Services,Transportation
"Gold Coast Adventurers!! Thursday night (this week) we are rock climbing our way to more Trust (and more fun!)... http://fb.me/3P81PdN3a ",Positive,Adventure tours and activities,Attraction
Most of the beaches on the Gold Coast have an incredible view into the city. The city on theƒ,,Scenic,Attraction
"Lifeline $2 Clothing Sale in Gold Coast (25-26 Nov 2017)#Lifeline #Sale #Shopping #Fashion #Sales #Event #GoldCoast #Australia #SaleInGoldCoast #SaleInAustralia #ShoppingInGoldCoast #ShoppingInAustralia #EventInGoldCoast #EventInAustralia",Neutral,Shopping,Attraction
Mountain Tourist Information Centre Now Open To Tourists visiting the Gold Coast Hinterland http://www.tamborinemountainvisitor.com ,Neutral,Information & Guiding,Service and Ancillary
#countdown begins #Australia #Goldcoast #surfersparadise #firework ,Neutral,Live entertainment,Attraction
Top notch hostle @ Surf n Sun Beachside Backpackers ,,Second class accomadation,Accommodation
"Shoppers travelled from all over SE QLD for 'Black Friday' sales at Gold Coast shopping centres... But did they get a bargin, Details 5.30pm @9NewsGoldCoast",Negative,Shopping,Attraction
Cheap 8 Seater Car Hire Gold Coast _ Airport Pickup And Dropoff https://tradeflights.com/cheap-8-seater-car-hire-gold-coast-airport-pickup-and-dropoff/ Ü,Neutral,Transportation Services,Transportation
"FYI lang ha. Travelling doesn't always mean flying in an airplane. Sometimes and most of the time it is bus, ships, boats, motorcycles, and many more.",,Transportation Infrastructure,Transportation
"Costs more actually, because they also charge a going rate + expense reimbursement (most of them). Trust me, did the research. Iêm a friend, I can stay in the same hotel rooms (again less money), I know the guys and the story. I donêt just film, I direct.",,First class accommodation,Accommodation
@TransLinkSEQ Can you explain to me why 12.24am 750 surfside bus didn't wait for passengers to come off the train from Brisbane that was 2 minutes late in early hours of morning? Their were few passengers on this train as we were coming home from Ed Sheeran Concert?,,Transportation Infrastructure,Transportation
've made a submission to keep our native forests and bushlands thriving. Do you have two minutes today to do the same?,,Scenic,Attraction
"superb love it along Gold Coast, Fraser Island great, Whitsunday Islands stunning, Cairns for snorkelling, Enjoy the trip __",Positive,Adventure tours and activities,Attraction
Rocking Led Zeppelinês fans here in Gold Coast last night   Heading to airport and flying to Perth today for a concert.,Neutral,Live entertainment,Attraction
God someone fucking cheer me up I've got a face like a slapped arse. I hate when people leave hostels.,,Second class accomadation,Accommodation
20 000 firework shells are ready to hit the Gold Coast skyline tonight for New Years Eve celebrations @9NewsGoldCoast,Positive,Live entertainment,Attraction
#GoldCoast foodsmiths give #aussie cuisine classic a twist http://bit.ly/1OLoGFt ,Positive,Culture & Tradition,Attraction
A position just opened up for a tour guide in Gold Coast. R.I.P. Susie Wilson. #zombieapocalypse,Neutral,Tourism agent & operator,Tourism broker
Mount Warning ïthe backdrop of the TweedÍ : : : #tweedriver #mountwarning #mountains,,Scenic,Attraction
Budget Car Hire Gold Coast - PH:+61 414 256 619 - Airport Pickup/Dropoff http://www.accr.com.au/bargin-car-rentals.html Ü,Neutral,Transportation Services,Transportation
Had a VERY hard time convincing the surfside driver to accept my QR Workshops Museum ticket. Even had to show him ur website,,Exhibition entertainment,Attraction
Bit of rock climbing at the party today! #myboys #myworld #jurassicworldparty #goldcoast #GCã https://instagram.com/p/90XkRAlIXc/ ,Positive,Adventure tours and activities,Attraction
"There are so many sights to see, why sacrifice any. Hire a car, and drive away.https://www.surfersrentacar.com.au/cheap-car-hire-gold-coast/ Ü#carhire #goldcoast",Neutral,Transportation Services,Transportation
In the mountains! @ Mt Tamborine,,Scenic,Attraction
Today near the dreaming mountain Jellurgal on the Gold Coast our National Sales Manager learnt all about aboriginal culture #CW17,Positive,Culture & Tradition,Attraction
The trip continues - Settling into the Gold Coast. @ Palazzo Versace Hotel ,,First class accommodation,Accommodation
"Racing guru Rod Gallegos tips for the Gold Coast - Race 4 #7 Cramming, Race 6 #9 Testashadow, Race 8 #4 Chauffeur",Neutral,Transportation Services,Transportation
Travel the Gold Coast on a Budget _ Backpacker Accommodation http://taviawk.com/2017/06/11/travel-the-gold-coast-on-a-budget-backpacker-accommodation/ ã,Neutral,Second class accomadation,Accommodation
Try our ñEmerald Beachî reversible one piece reverses from firework print to grey availableƒ,,Live entertainment,Attraction
at least they have trams and trains. Try visiting SE Qld........,Positive,Means of transport,Transportation
"Gold Coast Marine Expo has one of the largest, if not the largest exhibits in Australia catering for all enthusiasts https://lnkd.in/eYjQz_S ",Neutral,Exhibition entertainment,Attraction
Ready for more pickups Free transport from your Hotel or backpackers. ,,Second class accomadation,Accommodation
"See out the year with a free concert,  activities & firework display Paradise Point http://www.weekendnotes.com/new-years-eve-concert-paradise-point/ ã #fireworks #goldcoast #NYE2014",Neutral,Live entertainment,Attraction
"BB FACTORY has a show on 2017-10-21 at 16:00 @ Twin Towns Services Club in Gold Coast, QLD https://www.reverbnation.com/q/72r03p  #concert",Neutral,Live entertainment,Attraction
Final night and we are back at Backpacker's very own - Billabong Bar. @ Backpackers In Paradise,,Second class accomadation,Accommodation
"#GoldCoast - Backpackers & travellers wanted!! no cold calling, $1000+ per week, daily prizes, fun team parties! at The Global Work & Travel Co. http://dlvr.it/Q0fW4b   #Backpacker #Jobs",Positive,Second class accomadation,Accommodation
An amazing design representing our culture and at same time is the manifestation of Gold Coast spirit,Positive,Culture & Tradition,Attraction
Blake in Gold Coast City Queensland Australia favors Queensland Museum   Sciencentre at WomTown  >> Market your biz,Neutral,Exhibition entertainment,Attraction
I'd say do Bathurst if you want to see the best of our tracks. Gold Coast is nice but the mountain is highest level awesome,Positive,Scenic,Attraction
"SNORKELLING AND SCUBA DIVING ON THE GOLD COAST!!Scuba or snorkel the popular Gold Coast dive sites with long established Queenslandã",Positive,Adventure tours and activities,Attraction
"Rock Climbing___#exploreyourbackyard #tweedcoast #goldcoast #cycling #adventureã https://www.instagram.com/p/BK7JwZyDJ5A/ ",Neutral,Adventure tours and activities,Attraction
Shoutouts to the guy from the Gold Coast Rock Climbing place who helped us out and also watches league! Good bloke.,Positive,Adventure tours and activities,Attraction
"Jerry Garcia & @David_Grisman | Gold Coast Concert Bowl | August 25th 1991Photo: Susana Millman ",Neutral,Live entertainment,Attraction
"Pizzey Parks magical looking forest, Gold Coast, Australia. Image by Instagrammer @MattzPixz #GoldCoast #Australia #Forest ",Positive,Scenic,Attraction
The wages of sin is death but the free gift from God is everlasting life through Christ our Lord Jesus,,Culture & Tradition,Attraction
"Gold Coast Beach __Check my ig for more Photographs.#beach #photography #Nikon #skydiving ",Positive,Adventure tours and activities,Attraction
Gold Coast Tourist Information Centre @GoldCoastInfo,Neutral,Information & Guiding,Service and Ancillary
Not sure if new job orientation or Madonna concert? __ @gc2018 #GC2018 #GoldCoast #NewBeginnings,Negative,Live entertainment,Attraction
"Some rock climbing and a shot of the boys chilling at the top.#goldcoast #queenslandã https://www.instagram.com/p/BEAJpZBvJ-v/ ",Neutral,Adventure tours and activities,Attraction
"You know there's a reason you buy health insurance before you get sick, right? Just because there's not a problem right now doesn't mean there won't be.",,Transportation Services,Transportation
"When your pastor is Tongan, you can expect @NRL to be part of church culture ",,Culture & Tradition,Attraction
"What a crowd at the @nightquarterau !!#UB40 #Reggae #Music #GoldCoast #Australia #NightQuarter #Concert #Crowd",Neutral,Live entertainment,Attraction
Check this out: 'Snorkelling with Turtles on the Gold Coast' http://shar.es/BApWC  via @gapyeardotcom #snorkelling,Neutral,Adventure tours and activities,Attraction
"Its 9 Days to the Biggest Celebration of #AkwaIbom People, Culture & Heritage in the Gold Coast of #Ghana #AkwaIbomToTheWorld #IbomFiestaGH",Neutral,Culture & Tradition,Attraction
Visited the Metropolitan Museum of Art store on the Gold Coast Australia today.  Lovely little slice of New York in Queensland!,Positive,Exhibition entertainment,Attraction
Lol no OL Tony Abbott is not going to BB. HeÍs at the Fishing trade show on the Gold Coast. Giving a speech shortly.,,Exhibition entertainment,Attraction
Ann Hampton Callaway: DIVA POWER presented by Gold Coast #Jazz Concert Series #MiamiArtGuide #AnnHamptonCallaway #Broward #BrowardCenterForThePerformingArts #Concerts #ConcertsPresentations #GoldCoastJazz https://www.miamiartguide.com/ann-hampton-callaway-diva-power-presented-by-gold-coast-jazz-concert-series/ ã,Neutral,Live entertainment,Attraction
I just published _Gold coast airport private transfers available at Economical prices| Black Bow Chauffeurî ,Neutral,Transportation Services,Transportation
2 weeks to go and counting down. Gorgeous 80km ride out in the valleys this morning #tdfƒ,,Scenic,Attraction
Idk if I want a salad or a poke bowl for lunch but I know for sure that I need coffee cus they didn't have any at church this morning,,Culture & Tradition,Attraction
Broadbeach Bargain Car Rentals provide excellent quality and service for all your car hire needs on the Gold Coast!,Positive,Transportation Services,Transportation
Relaxing after great concert last night in Brisbane.  Gold Coast tonight at the Jupiter than tomorrow off on a... http://fb.me/4a1uCzHw9 ,Positive,Live entertainment,Attraction
"Gold Coast fun, SUP, rock climbing, high tea http://iam29sowhat.blogspot.com.au/2013/10/gold-coast-getaway.html ã",Positive,Adventure tours and activities,Attraction
With 4 of the 6 member performers of the famous Jet Stunt Extreme Show at the Sea World themeƒ,,Exhibition entertainment,Attraction
"I souvenir the Shampoos,Soaps ect from Hotels Iêve stayed at Around the World. Is that the same thing? Obviously Hillary Dearest Thinks so. Dried up old HAG.",,First class accommodation,Accommodation
"Imagine the circus during this season.Fair chance Gold Coast finish bottom next year.",Positive,Live entertainment,Attraction
Lunch time on the coast #intraining #b27 @ The Clock Hotel QLD ,,First class accommodation,Accommodation
"A perfect place to finish the hard day.#VolumeVision #3drender for an exceptional development on Mermaid Beach, Gold Coast.#volumevision #cgi #3d #archviz #design #propertymarketing #3dvisualisation #archiecturalvisualisation #3drendering #australianarchitecture",Positive,Scenic,Attraction
Time to trial letting bikes on trams on the Gold Coast. Hopefully the State will agree (...see what I did there ),Neutral,Means of transport,Transportation
Just chilling but the pool! #livingthegoodlife @ Budds in Surfers Backpackers Resort,,First class accommodation,Accommodation
Been there myself and you absolutely have to use the passport. Some mad bitch at a Gunners concert let me get away with it but usually nah.,,Live entertainment,Attraction
Circus Of Illusion opens tonight on the Gold Coast! http://fb.me/zq1qVQCa ,Neutral,Live entertainment,Attraction
http://www.hoofdnieuws.nl  Travers Beynonês Gold Coast party almost turns to disaster after firework starts a fire http://dlvr.it/CwlTCF ,Negative,Live entertainment,Attraction
Hi @elonmusk I see you are on the Gold Coast. If you read this I will be your FREE tour guide.Enjoy your stay here! ,Positive,Tourism agent & operator,Tourism broker
Snorkelling on the Gold Coast :) http://instagram.com/p/ih1x_ErmNC/ ,Positive,Adventure tours and activities,Attraction
#auteched #winsvr #winsrv I want to rise to the opportunity of seeing the gold coast from a chopper like I rose up the VS rock climbing wall,Positive,Adventure tours and activities,Attraction
Thank you Gold Coast City Council for such a great firework display  excellent way to farewell the old year and welcome 2013!!,Positive,Live entertainment,Attraction
It didnÍt start with Jesus. Even Catholic sources say something somewhat different. Orthodox are non existent on it. Earliest historical reference is Protestant revivalism,,Culture & Tradition,Attraction
Gold Coast's Top 3 Art Galleries #art #artist #artgallery #artwork https://www.top3gc.com/best-art-gallery-gold-coast/ ã,Neutral,Exhibition entertainment,Attraction
Man charged with possession of a baton and firework after police chase on M1 overnight. #GoldCoast #Newsfeed http://goo.gl/jda5a4 ,Neutral,Live entertainment,Attraction
#GoldCoast #WebDesign Parents angry over bizarre playground design at shopping centre: ANGRY parents have lashedã http://dlvr.it/Pv39Fq ,Negative,Shopping,Attraction
Gold Coast Adventure Deals - Stardeals: Beenleigh: Indoor Rock Climbing: Indoor Rock Climbing - One Full Day (... http://bit.ly/YI6SVs ,Positive,Adventure tours and activities,Attraction
"Eggs, bacon, sausages, cheese meatballs and custard tart for dinner! @ Budds in Surfers Backpackers€",,Second class accomadation,Accommodation
"Brisbane, Gold Coast, Byron Bay airport limousine transfer services. - Black Bow Chauffeur, Brisbane Traveller... http://fb.me/1Mb6lzT3K ",Negative,Transportation Services,Transportation
"Basement scenes, smiles all around @ Down Under Hostels ",,Second class accomadation,Accommodation
My Hotel Room up the Gold Coast #goldcoast #sun #australia #queensland miriam.luisaa wish you,,First class accommodation,Accommodation
You can go to church 5 days a week ,,Culture & Tradition,Attraction
"Due to a big swell hitting the Gold Coast this weekend, lifeguards have closed the beaches",,Scenic,Attraction
"Cheap Gold Coast Holiday, QLD, Australia: Gold Coast Attraction at the Wax Museum Surfers Pa... http://www.cheapgoldcoastholiday.com/2011/09/gold-coast-attraction-at-wax-museum.html?spref=tw ã",Neutral,Exhibition entertainment,Attraction
"Tambourine Mountain is near the Gold Coast, maybe a musical theme could be used?",Positive,Scenic,Attraction
"Game Over is the newest attraction to open up on the #GoldCoast with laser tag, rock climbing, go karting & more! __ ",Positive,Adventure tours and activities,Attraction
Scott Imlach did a deal with the God of thunder to put on a show for Halloween themeƒ,,Exhibition entertainment,Attraction
Where's the sunshine gone?!?! #rainraingoaway #missthesun #cantcatchataninthis @ Backpackers In Paradise,,Second class accomadation,Accommodation
"Today: Gold Coast, Australia - Nov 25 at East Nightclub ",Neutral,Live entertainment,Attraction
Firework's time!!!!! #sufersparadise #goldcoast #nye2015 #byebye2015__2016 @ Surfers Paradise Beach https://www.instagram.com/p/_87G5qGREF/ ,Neutral,Live entertainment,Attraction
"The big weekends keep coming at the Gold Coast premier night club PLATINUM NIGHTCLUB BroadbeachFriday Night:... http://fb.me/1obkbccUv ",Neutral,Live entertainment,Attraction
"Heading to the Gold Coast and need car hire? Thrifty Car Rentals offer a range of vehicles from small to family...",Negative,Transportation Services,Transportation
2017 stretch limousine 10 passengers + chauffeur #ourgoldcoast #goldcoast #wedding‹ https://www.instagram.com/p/BYAyZ70DBg8/_,Neutral,Transportation Services,Transportation
"Driven up the gold coast today (4.5hrs), to Cairns. Booked rain forest sky ride and snorkelling on the great barrier reef tomorrow. :-))))",Positive,Adventure tours and activities,Attraction
http://www.Getwhatever.com  Man dies after shooting off firework from top of his head police say. Top. Gold Coast Marathon 2015 Results Men s,Positive,Live entertainment,Attraction
Lunchtime #tomakeyousmile #photography #rattphotography #BCCC #lunch @ Advancetown Hotel Motel,,First class accommodation,Accommodation
When you meet up with your favourite South East Asia tour guide in the Gold Coast _ @ Surfersã https://www.instagram.com/p/BPZljw2AzhG/ ,Positive,Tourism agent & operator,Tourism broker
New Year's Eve preparations are in full swing on the Gold Coast. Your guide to firework displays here. @MargaretDekker #7News,Positive,Live entertainment,Attraction
Finally back in Gold Coast.. Tonight.. Melbas nightclub.. set time 1-2am with My boy @Rojdar_ ______ #SkooliesVIP,Neutral,Live entertainment,Attraction
FREE local listing for >> Queensland Maritime Museum >> a Local Services biz in Gold Coast City Queensland Australia. http://vegaswom.com/u.php?w=139616&i=75416&b=52865&r=66690& ã,Neutral,Exhibition entertainment,Attraction
No theme parks today but to the farm instead. There are no buses into #ParadiseCountry and we had to€,,Means of transport,Transportation
In the corner on my lonesome singing to a few @ Beaudesert Hotel ,,First class accommodation,Accommodation
Great book on prime display at Brisbane Airport. Congratulations ,,Transportation Infrastructure,Transportation
living the high life __ em Gold Coast Hostel https://www.instagram.com/p/BbW0rK0n6_q38S0M4pNIcwkXTse9hHtXl4htAM0/ ã,Positive,Second class accomadation,Accommodation
"Ada fashion show ke kat Gold Coast, Australia ? Jangan lupaƒ ",,Exhibition entertainment,Attraction
"Gold Coast or cairns. Gold Coast is a good mix of beach and city, but cairns bc I fell in love with the rain forest",Positive,Scenic,Attraction
Gold Coast show was rather fun. #firework #frozen #sing #goldcoastshow #cinema #codesisintown https://instagram.com/p/69hXD0yye9/ ,Positive,Live entertainment,Attraction
I've got a new friend from Korea. Great to meet you @ Aquarius Backpackers,,Second class accomadation,Accommodation
#Tech #GoldCoast Nintex Exhibits at 2015 Microsoft Australia Partner Conference http://dlvr.it/BxkPZt ,Neutral,Exhibition entertainment,Attraction
"Surfers Paradise, Gold Coast, Transfers by Black Bow Chauffeur Australia http://blackbow09.livejournal.com/8580.html ",Negative,Transportation Services,Transportation
"So mega excited now for April! Planning a 6 day tour of the Gold Coast to scuba dive in Barrrier Reef, Bungee Jump and Skydive. Buzzing!!",Positive,Adventure tours and activities,Attraction
#News #GoldCoast Push on to reinstate ban on circus animals performing on Gold Coast City Council-owned properties ,Neutral,Live entertainment,Attraction
"Trams on the Gold Coast. Fantastic idea & a great service. @ Gold Coast, Queensland https://www.instagram.com/p/BReu0DNBcGL/_",Positive,Means of transport,Transportation
Why isn't 3rd party insurance on our drivers licence. Then we can have lots of cars rego'd under the same number with pro rata payment,,Transportation Services,Transportation
"Did you have a magical #Australiaday? ____Looking forward to meet new #Aussies on the #GoldCoast, watch the firework and celebrate together.",Positive,Live entertainment,Attraction
Event dates are here #art http://www.psas.com.au/pages/now_and_future/another_antipodes/ ã #Perth #Galleries #SydneyOperaHouse #Queensland #GoldCoast #Canberra #tasmania #economy,Neutral,Exhibition entertainment,Attraction
"Happy face firework :)#happy #face #smile #smiley #firework #surfersparadise  #goldcoast https://instagram.com/p/1nMvHaIHQk/ ",Positive,Live entertainment,Attraction
"Kayaking, snorkelling, hot tub, beach so far today... Dinner and out on the town tonight #thelife #goldcoast @daniklup",Positive,Adventure tours and activities,Attraction
"BOOK NOW or Call Us 1300 720 254 for more information.#GoldCoastlimohire #sightseeingtour #limohire #luxurycarhire",Positive,Transportation Services,Transportation
FEW BIG WEEKS COMING UP!! PLATINUM NIGHTCLUB Broadbeach COMMONWEALTH GAMES TRADING HOURS!! ,,Live entertainment,Attraction
"Travelogue in Gold Coast __ A city of adventures. Of kangaroos, hot air balloon and skydiving __ https://www.instagram.com/p/BbtfdkQhGpR/ ",Positive,Adventure tours and activities,Attraction
